id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1276863,Luxury Waterfront Apartment,6949940,Beata,,Ward E (councilmember James Solomon),40.7136,-74.03538,Entire home/apt,,60,145,2019-09-13,0.97,1,276,0,
3674016,Downtown loft - steps to NYC! Downtown Jersey City,318287,Cindy,,Ward E (councilmember James Solomon),40.72728,-74.0408,Entire home/apt,,29,164,2024-01-01,1.21,3,0,0,
5851973,Furnished Room+ BATH  close to NYC train,30374905,Sam,,Ward C (councilmember Richard Boggiano),40.73603,-74.05395,Private room,,28,54,2024-12-27,0.49,2,0,8,
8240035,Spacious 2 Bedroom Apartment in Brick Row House,43454019,Mark,,Ward D (councilmember Michael Yun),40.74496,-74.0597,Entire home/apt,,2,317,2025-08-29,2.63,1,0,15,STR-005462-2024
10263992,Plush 1BR Near Statue of Liberty,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72501,-74.03612,Entire home/apt,,28,3,2025-08-16,0.03,37,364,1,
10264196,Spacious 1BR | Work desk | Gym+Rooftop | JC by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72371,-74.03699,Entire home/apt,,28,12,2025-04-25,0.11,37,364,1,
10264615,Bright+Spacious 1BR | Work Desk + WiFi | Near PATH,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,2,2020-01-19,0.03,37,364,0,
10264857,Spacious 1BR |  Work from Home| Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,2,2020-06-11,0.02,37,359,0,
10360336,Modern 1BR | WiFi+Business Center | Near Path |GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,5,2020-02-02,0.05,37,359,0,
10361564,Private&Clean 1BR | Workspace | Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,7,2020-08-30,0.06,37,364,0,
10362044,Modern Newport 1BR | Full Kitchen | Work Desk| GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2017-12-29,0.01,37,364,0,
10377069,Mins to NYC | Jersey City 1BR w/ Pool & Playground,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2016-06-17,0.01,37,364,0,
10379027,Pool & Full Gym | Furnished 2BR w W/D | nr NYC,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2019-11-04,0.01,37,364,0,
10382107,Homey 1BR with Beautiful Views,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,2,2019-08-22,0.02,37,359,0,
10383764,Perfect for Families! Petfriendly 2BR nr Hudson R.,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,2,2019-08-31,0.02,37,364,0,
10384214,Private 2BR | Work from home | Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,11,2021-12-03,0.1,37,362,0,
10384889,Spacious 2BR Apt | Full Kitchen | Laundry | Gym,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2018-12-31,0.01,37,364,0,
10385587,Plush 2BR in Jersey City,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2020-01-26,0.01,37,364,0,
10385819,Spacious 2BR | Work Desk + W/D| Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,25,2022-01-08,0.24,37,364,0,
10429121,Spacious 1BR | Gym |  Downtown JC Newport | by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,3,2019-12-20,0.03,37,359,0,
10430238,Comfort 1BR in Jersey City + Nice Views,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,4,2020-02-16,0.06,37,359,0,
10989968,Lux 1BR Downtown Jersey City,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2020-03-24,0.01,37,364,0,
10991109,Spacious & Private 2BR | Downtown Jersey City,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,5,2020-10-27,0.06,37,362,0,
11144719,"Pool, Gym & More! 1BR ✰ Steps to PATH, Ferry",30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,2,2021-02-14,0.03,37,359,0,
14023614,Beautiful Studio | Equipped Kitchen+Work Desk | JC,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.721886,-74.036446,Entire home/apt,,28,8,2020-10-18,0.07,37,364,0,
15132128,Furnished BED+BATH close to NYC on train,30374905,Sam,,Ward C (councilmember Richard Boggiano),40.73715,-74.05481,Private room,,28,21,2025-01-23,0.19,2,0,5,
15157180,Spacious& Bright 1BR in Jersey City| Mins to NYC,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.721886,-74.036446,Entire home/apt,,28,14,2023-01-16,0.13,37,364,0,
